"date","ID2","site","coral","algae","bare_CCA","turf_PAC","sand","Chao1","se.chao1","ID","l","w","h","c","SAcm","SAm","Rl","Rw","Clength","Cwidth","Cavg","Porites lobata","Porites rus","Porites irregularis","Montipora grisea","Montipora verrucosa","Montipora efflorescens","Montipora setosa","Montipora spp.","Pocillopora grandis","Pocillopora damicornis","Pocillopora spp.","Pavona chiriquiensis","Pavona varians","Pavona cactus","Pavona duerdeni","Astrea curta","Leptastrea pruinosa","Leptoseris mycetoseroides","Leptoseris hawaiiensis","Cyphastrea juv.","Acropora hyacinthus","Acropora retusa","Acropora globiceps","Acropora spp.","Psammocora profundacella","Psammocora stellata","Psammocora spp.","Astreopora randalli","Spirobranchus giganteus","Petalchoncus keenae","Tridacna maxima","Lissoclinum patella","Dictyoceratida spp.","Haliclona spp","Palythoa spp.","Trididemnum spp.","Ircinia spp.","Lissoclinum spp.","Palythoa tuberculosa","Verongiida dGP","Favosipora spp.","Hymedesmia spp.","Dysedia spp.","unknown sponge","Cliona spp."
"April 2023",43,"SP2",68,0,32,0,0,12.1666666666667,0.540756074162478,155,145,116,70,362,28024.69585,2.802469585,248,244,0.415322581,0.524590164,1.71034482758621,6,0,0,0,0,2,0,5,1,0,16,2,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,63,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0
"April 2023",31,"SP2",8,68,16,0,8,21.75,4.1951808096746,132,132,85,52,300,17859.84328,1.785984328,295,158,0.552542373,0.462025316,2.23484848484848,18,0,1,4,0,1,0,2,1,0,19,3,0,0,0,1,0,0,0,3,2,1,0,2,13,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,3,6
"April 2023",20,"SP2",60,20,16,0,4,21,5.99106477538485,129,205,119,86,503,42639.77841,4.263977841,362,334,0.433701657,0.643712575,1.76585365853659,46,0,0,5,0,4,0,2,0,0,11,8,0,0,0,1,0,0,0,0,0,0,0,3,7,0,0,0,6,238,1,1,0,0,1,0,0,0,0,0,0,0,0,1,4
"April 2023",8,"SP2",0,24,76,0,0,20.3333333333333,4.10688750697414,154,133,115,96,348,33355.5822,3.33555822,282,270,0.528368794,0.574074074,2.1203007518797,6,0,0,1,0,2,0,6,0,0,8,6,1,0,0,1,0,0,0,0,0,0,1,3,11,0,0,0,0,44,1,6,0,5,2,0,0,0,0,0,0,0,0,0,5
"April 2023",50,"SP2",4,56,40,0,0,16.25,0.73277495495915,165,120,111,120,369,37001.86842,3.700186842,330,270,0.636363636,0.588888889,2.75,32,4,0,2,0,0,0,0,0,0,12,4,3,0,0,1,0,3,0,0,0,0,0,4,21,0,0,0,0,42,4,0,0,2,2,0,0,0,0,0,0,0,0,1,18
"April 2023",42,"SP2",12,44,44,0,0,14.6,1.18132036646254,145,120,88,77,340,22655.88718,2.265588718,257,207,0.53307393,0.574879227,2.14166666666667,9,6,0,0,0,1,0,2,2,0,14,1,0,0,0,0,2,0,0,0,0,0,0,5,5,0,0,0,0,17,1,0,0,0,0,0,0,0,2,0,0,0,0,0,31
"April 2023",45,"SP2",4,48,32,0,16,12.5,1.28160056179763,127,84,56,44,213,9035.868837,0.903586884,156,127,0.461538462,0.559055118,1.85714285714286,7,0,0,9,0,5,0,3,0,0,12,3,0,0,0,1,0,0,0,0,0,0,0,1,10,0,0,0,0,8,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"April 2023",7,"SP2",48,0,52,0,0,30,8.0279784192535,151,124,122,77,340,27845.51875,2.784551875,231,234,0.463203463,0.478632479,1.86290322580645,28,0,1,2,1,3,0,0,0,1,6,0,3,0,0,0,0,0,0,2,1,0,0,1,2,0,0,0,11,41,7,4,0,1,1,0,0,1,0,0,0,0,0,1,5
"April 2023",6,"SP2",0,68,28,0,4,16.2,0.618744248009179,141,159,94,96,333,34253.92835,3.425392835,291,219,0.453608247,0.570776256,1.83018867924528,23,0,0,0,0,0,2,0,0,0,10,14,0,0,0,1,5,0,0,0,0,0,0,2,6,0,0,0,4,29,2,0,2,1,4,0,0,0,0,0,0,0,0,6,5
"April 2023",4,"SP2",16,44,40,0,0,23.6666666666667,2.20104344455692,119,147,94,87,359,29832.49173,2.983249173,270,280,0.455555556,0.664285714,1.83673469387755,12,0,2,4,0,12,1,4,0,0,10,3,0,0,0,0,0,0,0,0,2,2,0,6,18,0,1,0,1,33,0,0,2,8,1,0,2,1,0,0,0,0,0,6,10
"April 2023",1,"SP2",28,28,40,0,4,13,0.120096115353815,105,122,100,60,282,20389.2011,2.03892011,193,185,0.367875648,0.459459459,1.58196721311475,2,0,0,9,0,0,0,0,0,0,13,6,13,0,33,3,0,0,0,0,0,0,0,3,8,0,0,2,0,12,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"April 2023",23,"SP2",8,36,36,0,20,13,1.80336816877108,104,145,62,49,368,15872.66601,1.587266601,310,116,0.532258065,0.465517241,2.13793103448276,11,0,0,7,1,0,0,0,1,0,9,19,0,0,0,2,2,0,0,0,0,0,0,4,6,0,0,0,0,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"April 2023",24,"SP2",16,12,52,0,20,20,10.170422803404,109,81,51,49,185,9153.726965,0.915372696,152,111,0.467105263,0.540540541,1.87654320987654,8,0,0,0,1,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"April 2023",25,"SP2",0,0,100,0,0,16.5,8.07880222895359,120,34,28,32,78,2653.29691,0.265329691,68,79,0.5,0.64556962,2,4,0,0,1,1,0,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"April 2023",49,"SP2",20,0,12,0,68,8,4.38391947918755,133,32,21,37,84,2554.833977,0.255483398,89,71,0.640449438,0.704225352,2.78125,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"April 2023",14,"SP2",20,16,40,0,24,11,4.46196043338474,164,50,32,45,217,4923.997763,0.492399776,168,112,0.702380952,0.714285714,3.36,15,0,0,5,0,0,0,0,0,0,11,1,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"April 2023",38,"SP2",32,20,40,0,8,23.5,8.109539300082,122,93,77,50,254,12699.15724,1.269915724,174,169,0.465517241,0.544378698,1.87096774193548,8,0,4,1,1,0,0,0,1,0,13,3,4,0,0,3,0,0,0,0,0,0,0,3,7,0,0,0,0,27,0,2,1,0,1,0,0,0,0,0,1,0,0,0,0
"April 2023",2,"SP2",0,24,64,0,12,16.5,1.02411988986717,161,138,100,50,336,19811.03808,1.981103808,205,160,0.326829268,0.375,1.48550724637681,38,0,0,10,0,0,0,0,0,0,12,2,1,0,0,1,2,0,0,0,0,0,0,4,6,0,0,0,2,26,3,1,2,0,2,0,0,0,0,0,0,0,0,0,3
"April 2023",3,"SP2",4,12,68,0,16,14,4.12959700558922,116,90,62,49,240,10860.4836,1.08604836,162,131,0.444444444,0.526717557,1.8,15,2,0,5,0,0,0,0,0,0,10,3,0,0,0,1,0,0,0,0,0,0,0,1,8,0,0,0,0,10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"April 2023",16,"SP2",20,0,12,0,68,15,10.041580220928,153,41,26,22,86,2139.884179,0.213988418,69,55,0.405797101,0.527272727,1.68292682926829,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"April 2023",9,"SP2",28,8,60,0,4,14,2.8646726176562,147,143,100,82,387,28752.02829,2.875202829,291,143,0.508591065,0.300699301,2.03496503496504,0,36,0,12,0,2,0,0,0,0,10,4,1,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,2,0,0,7,0,0,0,0,0,0,0,0,0,0,1,1
"April 2023",15,"SP2",36,20,36,0,8,13.5,1.28290035986172,140,97,87,59,255,15859.9495,1.58599495,191,126,0.492146597,0.30952381,1.96907216494845,5,0,0,3,5,3,0,0,0,0,15,5,0,0,0,1,4,0,0,0,0,0,0,2,5,0,0,0,0,13,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"April 2023",11,"SP2",16,0,76,0,8,18,2.86959368225444,137,161,128,64,435,30258.7427,3.02587427,264,177,0.390151515,0.276836158,1.63975155279503,16,0,0,7,0,1,0,0,0,0,15,2,3,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,12,13,0,5,3,0,0,0,1,0,1,1,0,0,0,0,2
"April 2023",36,"SP2",8,0,92,0,0,11.5,2.56014605561615,101,117,85,39,317,13568.92789,1.356892789,215,142,0.455813953,0.401408451,1.83760683760684,2,0,0,0,0,0,0,3,0,0,17,26,0,0,0,1,0,0,0,0,0,1,0,5,3,0,0,0,0,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"April 2023",17,"SP2",20,16,16,0,48,10.3333333333333,4.08492093585304,150,41,36,24,117,2719.222117,0.271922212,62,55,0.338709677,0.345454545,1.51219512195122,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"April 2023",46,"SP2",0,16,52,0,32,10,1.79891942874358,117,63,61,28,203,5652.381374,0.565238137,100,98,0.37,0.37755102,1.58730158730159,0,12,0,1,0,0,0,1,0,0,2,13,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"April 2023",27,"SP2",100,0,0,0,0,25.3333333333333,4.11135312232193,139,191,159,81,615,45678.35936,4.567835936,300,244,0.363333333,0.348360656,1.57068062827225,3,90,0,4,0,0,0,4,0,0,27,12,1,2,0,0,1,1,0,0,1,3,1,4,17,0,0,0,6,77,3,0,6,10,0,0,0,0,0,0,0,0,0,2,35
"April 2023",10,"SP2",16,28,56,0,0,15,2.2876479915698,148,124,107,93,333,29872.67936,2.987267936,184,184,0.326086957,0.418478261,1.48387096774194,13,0,0,13,0,3,0,0,0,0,11,9,7,0,0,3,5,0,0,0,0,0,1,4,12,0,0,0,1,21,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"April 2023",29,"SP2",0,52,16,0,32,7.5,1.26984250992003,126,65,34,47,161,6358.879757,0.635887976,88,55,0.261363636,0.381818182,1.35384615384615,1,0,0,8,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"April 2023",5,"SP2",36,20,36,0,8,10,0.474341649025257,121,166,165,63,513,36372.83101,3.637283101,243,229,0.316872428,0.279475983,1.46385542168675,58,4,0,6,0,0,0,0,1,0,19,3,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,5,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"April 2023",19.1,"INV2",0,0,100,0,0,16,4.52596674755792,816,236,184,119,687,75421.73334,7.542173334,408,395,0.421568627,0.534177215,1.72881355932203,18,21,0,1,0,0,0,0,0,0,5,12,0,0,0,0,0,0,0,1,0,0,0,9,1,0,0,0,13,25,10,15,0,0,0,0,0,0,0,0,0,0,0,0,7
"April 2023",23.1,"INV2",40,0,32,0,28,7.5,2.53968501984006,815,80,61,41,203,8659.265043,0.865926504,129,102,0.379844961,0.401960784,1.6125,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,11,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"April 2023",15.1,"INV2",12,28,56,0,4,10.3333333333333,0.915919647826376,836,106,98,79,286,22573.24956,2.257324956,252,160,0.579365079,0.3875,2.37735849056604,2,0,0,2,0,0,0,0,0,0,4,9,0,0,0,0,0,0,0,1,0,0,0,3,3,0,0,0,0,5,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0
"April 2023",13.1,"INV2",4,0,76,0,20,12.75,1.41510691240253,803,74,57,52,200,9503.499692,0.950349969,162,102,0.543209877,0.441176471,2.18918918918919,3,0,1,2,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,2,0,0,0,3,2,0,0,0,0,6,0,21,0,0,0,0,0,0,1,0,0,4,0,0,0
"April 2023",3.1,"INV2",44,36,20,0,0,24.5,2.58034169545549,837,373,325,110,1053,146214.9033,14.62149033,651,376,0.42703533,0.135638298,1.74530831099196,40,7,0,6,0,8,12,6,0,0,9,3,0,10,0,0,4,0,1,8,0,0,0,4,3,1,0,0,92,139,8,7,1,4,0,0,0,0,2,0,0,0,0,3,0
"April 2023",32.1,"INV2",16,4,80,0,0,13,0.120096115353815,838,229,140,82,611,49036.5658,4.90365658,369,204,0.379403794,0.31372549,1.61135371179039,12,8,0,4,0,0,0,0,0,0,4,11,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,11,19,0,14,2,0,0,0,0,0,0,0,0,0,0,0,10
"April 2023",10.1,"INV2",36,16,48,0,0,23,5.99592252756169,824,242,189,97,755,67963.64596,6.796364596,504,351,0.51984127,0.461538462,2.08264462809917,62,12,0,4,0,5,1,1,3,0,10,4,0,0,0,0,0,0,0,5,1,0,0,2,1,0,0,0,77,79,6,13,1,0,0,0,0,0,0,0,0,0,0,0,0
"April 2023",34.1,"INV2",36,0,20,36,8,7,0.154303349962092,823,87,69,57,245,12608.3008,1.26083008,168,100,0.482142857,0.31,1.93103448275862,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,21,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"April 2023",46.1,"INV2",64,0,12,20,4,9,2.24845626053867,805,116,91,78,335,22751.10962,2.275110962,205,217,0.434146341,0.580645161,1.76724137931034,42,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16,20,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"April 2023",2.1,"INV2",24,8,68,0,0,12.3333333333333,0.917610306907027,814,116,152,100,590,37842.87203,3.784287203,242,209,0.520661157,0.272727273,2.08620689655172,39,0,0,4,0,0,1,0,0,0,4,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,123,17,3,3,2,0,0,0,0,0,0,0,0,0,0,0,3
"April 2023",44.1,"INV2",36,4,44,4,12,13.75,1.41574446365283,800,140,138,92,409,37078.14285,3.707814285,216,310,0.351851852,0.55483871,1.54285714285714,4,0,0,6,0,0,0,0,1,0,2,31,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,3,22,1,2,4,0,0,0,1,0,0,0,0,0,0,0,0
"April 2023",43.1,"INV2",96,4,0,0,0,36,17.3227130926102,801,390,192,85,895,93811.49311,9.381149311,600,306,0.35,0.37254902,1.53846153846154,112,1,0,5,0,0,0,0,0,0,4,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,33,34,10,14,0,0,0,0,0,0,0,0,0,0,0,0,32
"April 2023",31.1,"INV2",0,28,40,0,32,6,0.152145154862546,826,54,42,27,134,3919.570584,0.391957058,91,79,0.406593407,0.46835443,1.68518518518519,0,0,0,2,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"April 2023",37.1,"INV2",32,16,4,48,0,11,0.0953462589245592,813,189,155,111,665,55689.68956,5.568968956,383,341,0.506527415,0.545454545,2.02645502645503,92,2,0,2,0,0,1,0,0,0,2,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,5,25,0,0,0,0,0,0,0,0,0,0,0,0,2
"April 2023",45.1,"INV2",84,4,0,0,12,5.5,1.25905808949678,834,81,70,54,220,11612.84936,1.161284936,169,139,0.520710059,0.496402878,2.08641975308642,34,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"April 2023",21.1,"INV2",8,24,68,0,0,10.5,2.55650430973904,812,219,160,114,550,64113.98443,6.411398443,342,308,0.359649123,0.480519481,1.56164383561644,33,1,0,1,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,1,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"April 2023",18.1,"INV2",100,0,0,0,0,6.5,1.26529108843046,835,108,95,77,323,21987.27928,2.198727928,190,189,0.431578947,0.497354497,1.75925925925926,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,42,2,8,0,0,0,0,0,0,0,0,0,0,1,0,0
"April 2023",7.1,"INV2",0,0,72,0,28,10,4.44128359824049,802,70,49,43,200,7275.786361,0.727578636,109,100,0.357798165,0.51,1.55714285714286,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,5,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0
"April 2023",11.1,"INV2",48,0,52,0,0,29,13.6135074909774,810,220,145,92,560,52332.01968,5.233201968,370,259,0.405405405,0.44015444,1.68181818181818,13,1,0,15,1,0,3,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,22,36,6,24,0,0,0,0,0,0,0,0,0,0,0,0,1
"April 2023",47.1,"INV2",4,0,40,8,48,16.5,8.07880222895359,811,124,105,44,346,17471.72006,1.747172006,184,167,0.326086957,0.371257485,1.48387096774194,5,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"April 2023",39.1,"INV2",4,28,64,0,4,24,1.57784135239679,820,440,259,112,1114,144643.7968,14.46437968,696,440,0.367816092,0.411363636,1.58181818181818,4,127,23,1,0,5,2,0,1,0,13,30,32,11,0,1,4,0,5,1,0,0,0,4,3,0,0,2,0,2,8,2,2,0,0,0,0,0,0,0,0,0,0,0,25
"April 2023",38.1,"INV2",36,0,4,56,4,5,0.447213595499958,817,97,94,57,303,16208.35496,1.620835496,186,145,0.478494624,0.351724138,1.91752577319588,14,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
"April 2023",26.1,"INV2",0,0,28,48,24,11.3333333333333,0.916839951931766,822,142,51,42,307,12874.27656,1.287427656,266,141,0.466165414,0.638297872,1.87323943661972,0,4,0,4,0,0,0,0,0,0,3,4,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,24,1,15,2,0,0,0,0,0,0,0,0,0,1,0,0
"April 2023",24.1,"INV2",64,0,36,0,0,21.2,1.83604990272133,821,290,243,105,906,95998.7005,9.59987005,481,371,0.397089397,0.345013477,1.65862068965517,6,0,0,5,0,0,19,0,0,0,9,21,4,0,0,2,1,0,0,1,1,0,0,2,13,1,0,0,0,3,2,33,6,7,7,0,0,0,0,0,0,0,0,0,2
"April 2023",35.1,"INV2",0,12,40,16,32,10,1.79891942874358,833,153,109,51,392,22918.37712,2.291837712,280,220,0.453571429,0.504545455,1.83006535947712,8,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,3,2,12,1,0,0,0,0,0,0,0,0,0,0,0,0
"April 2023",28.1,"INV2",4,0,4,16,76,8,4.38391947918755,832,71,29,43,171,5999.903748,0.599990375,140,88,0.492857143,0.670454545,1.97183098591549,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0
"April 2023",29.1,"INV2",0,8,76,8,8,11.25,0.730950199702035,831,151,73,51,400,18179.26355,1.817926355,243,155,0.378600823,0.529032258,1.60927152317881,4,0,0,1,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,2,0,0,0,2,3,0,0,0,2,44,4,28,0,0,0,0,0,0,0,0,0,0,0,0,0
"April 2023",42.1,"INV2",8,0,16,0,76,4,0,818,81,61,25,196,6375.646748,0.637564675,86,114,0.058139535,0.464912281,1.06172839506173,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"April 2023",22.1,"INV2",20,48,20,12,0,12,4.12057843835871,819,195,169,96,602,53918.09652,5.391809652,311,310,0.372990354,0.45483871,1.5948717948718,1,373,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,17,2,110,1,0,0,0,0,0,0,0,0,0,0,0,0
"April 2023",5.1,"INV2",24,8,52,0,16,16.5,8.07880222895359,850,74,65,53,210,10351.89893,1.035189893,131,132,0.435114504,0.507575758,1.77027027027027,1,0,0,0,0,7,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,12,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"April 2023",55.1,"INV2",0,20,68,4,8,14.5,2.56803963875305,851,113,83,69,325,19332.33471,1.933233471,240,208,0.529166667,0.600961538,2.12389380530973,0,0,0,4,0,3,24,0,0,0,8,7,0,0,0,0,0,0,0,1,0,1,0,1,5,0,0,0,0,19,2,10,3,0,0,0,0,0,0,0,0,0,0,0,0
"April 2023",40.1,"INV2",8,0,28,16,48,9.2,1.82917420189264,852,67,60,44,180,8014.453276,0.801445328,121,124,0.446280992,0.516129032,1.80597014925373,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
"April 2023",54.1,"INV2",0,0,100,0,0,8.33333333333333,0.913411729536205,853,139,89,84,366,27140.54082,2.714054082,242,182,0.425619835,0.510989011,1.7410071942446,9,0,0,0,0,1,0,2,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0
"April 2023",58.1,"INV2",12,8,60,16,4,14.2,0.618339439120481,854,320,157,82,825,68939.00183,6.893900183,451,287,0.290465632,0.452961672,1.409375,11,65,1,2,0,6,3,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,97,2,44,0,0,0,0,0,0,0,0,0,0,0,0,0
"April 2023",56.1,"INV2",16,0,32,0,52,7,1.79062815971078,855,70,36,20,160,3613.7081,0.36137081,100,56,0.3,0.357142857,1.42857142857143,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,3,0,0,0,0,0,0,0,0,0,1,0,0
"April 2023",60.1,"INV2",8,64,28,0,0,22,3.41094495038332,856,287,240,108,805,96052.7466,9.60527466,355,460,0.191549296,0.47826087,1.23693379790941,6,52,0,0,0,5,0,0,0,0,16,5,1,0,0,2,1,2,0,0,1,4,0,1,3,0,0,0,1,21,2,1,0,0,0,0,0,0,2,0,0,0,4,0,0
"April 2023",53.1,"INV2",36,4,52,0,8,21,7.08284312029193,857,125,110,75,350,25778.66204,2.577866204,189,220,0.338624339,0.5,1.512,4,26,0,1,0,7,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,44,1,3,2,0,0,0,0,0,0,0,0,0,0,1,0
