"date","ID","site","coral","algae","bare_CCA","turf_PAC","sand","other","Chao1","se.chao1","l","w","h","c","SAcm","SAm","Rl","Rw","Clength","Cwidth","Orbicella annularis","Orbicella faveolata","Madracis decacdis","Porites porites","Porites astreoides","Agaricia humilis","Agaricia agaricites","Helioseris cucullata","Millepora alcicornis","Siderastrea siderea","Siderastrea radians","Stephanocoenia intersepta","Favia fragum","Scolymia cubensis","Scolymia lacera","Diploria labyrinthiformis","Manicina  areolata","Meandrina meandrites","Colpophyllia natans","Eusmilia fastigiata","Montastraea cavernosa","Gorgonia ventalina","Erythropodium caribaeorum","Plexaura spp.","Plexaurella spp.","Pseudoplexaura spp.","Muricea spp.","Muriceopsis flavida","Antillogorgia rigida","Antillogorgia americana","Briareum asbestinum","Pterogorgia anceps","Mycale laevis","Monanchora arbuscula","Diplastrella megastellata","Phorbas amaranthus","Aiolochroia crassa","Cinachyrella spp.","Smenospongia aurea","Amphimedon compressa","Desmapsamma anchorata","Halisarca spp.","Haliclona mucifibrosa","Ectyoplasia ferox","Scopalina ruetzleri","Chondrilla caribensis","Xestospongia muta","Ricordea florida","Lebrunia neglecta","Bartholomea annulata","Condylactis gigantea","Ctenoides scaber","Phallusia nigra","Rhopalaea abdominalis","unknown demospongia","Parazoanthus spp","Symplegma viride","Eudistoma obscuratum","Eudistoma spp.","Polycarpa tumida","Polycarpa spongiabilis","Pomatostegus stellatus","Notaulax occidentalis","Sabellastarte magnifica","Megalomma spp","Eupolymnia crassicornis","Spirobranchus giganteus","hydroid","Agaricia_spp","unknown_sponges","unknown_ascidians","Niphates spp.","Callyspongia spp.","Anamobaea spp."
"July 23, 2023","WT1","West Tektite",0,0,0,88,0,12,21.5,3.15076587219605,143,105,71,375,26479.13133,2.647913133,0,0,0,0,0,0,3,2,7,0,0,0,0,4,0,1,0,1,0,0,1,0,0,0,0,3,7,0,0,0,0,0,4,0,0,0,1,5,0,0,3,0,0,0,0,0,0,0,0,11,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,12,0,4,2,0
"July 28, 2023","WT10","West Tektite",0,36,20,28,4,12,13,5.95657361498783,86,77,26,270,8026.06885,0.802606885,0,0,0,0,0,0,0,0,2,0,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0
"August 4, 2023","WT11","West Tektite",0,76,8,8,0,8,24.625,4.80787112474341,97,52,63,226,13025.69451,1.302569451,0,0,0,0,0,0,0,2,9,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,2,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,2,0,1
"August 4, 2023","WT12","West Tektite",0,48,20,20,8,4,20,6.6283010643754,111,47,34,250,8638.991102,0.86389911,0,0,0,0,0,0,0,2,3,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,1,3,0,1,0,1
"August 4, 2023","WT13","West Tektite",8,52,0,36,0,4,44.8571428571429,6.33129705491022,209,184,70,750,49377.7579,4.93777579,0,0,0,0,1,0,62,15,17,0,0,0,17,14,0,0,2,0,1,1,0,2,0,4,3,7,3,0,0,0,0,0,0,1,1,0,10,15,0,0,5,1,0,6,0,0,0,6,0,0,0,0,0,1,0,0,2,0,0,0,1,0,2,0,1,5,1,0,6,0,2,1,6,16,0,7,2,3
"August 4, 2023","WT14","West Tektite",28,32,0,16,0,24,48,21.3697605664328,165,61,51,365,18154.28354,1.815428354,0,0,0,0,0,0,0,9,16,0,0,0,5,4,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,4,0,0,6,0,0,0,0,0,0,0,1,5,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,12,4,1
"August 8, 2023","WT15","West Tektite",4,24,0,48,4,20,29.2,6.42782073894837,120,80,67,297,19367.03081,1.936703081,0,0,0,0,9,0,0,0,3,0,0,0,10,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,3,4,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,1,0,0,0,1,0,4,0,1,2,0,0,1,2,0,5,0,0
"August 8, 2023","WT16","West Tektite",20,64,0,8,4,4,43.5,19.2442520153989,200,63,62,268,25235.80986,2.523580986,0,0,0,0,3,0,0,6,6,0,0,0,8,2,1,0,0,0,0,0,0,0,0,1,0,3,0,0,1,0,0,0,0,3,0,0,13,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,4,0,4,1,0
"August 8, 2023","WT17","West Tektite",4,44,0,32,12,8,17.25,1.7292171395637,162,55,48,325,16423.25482,1.642325482,0,0,0,0,3,0,0,2,2,0,0,0,3,3,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0
"August 8, 2023","WT18","West Tektite",40,8,0,36,16,0,14,2.57529471267714,68,42,62,182,9084.361176,0.908436118,0,0,0,0,4,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,0,0
"July 23, 2023","WT2","West Tektite",0,52,16,20,8,4,13.5,2.21983378590313,122,81,36,295,13000.18551,1.300018551,0,0,0,0,0,0,0,1,3,0,0,0,1,3,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,1,1,3,0
"July 26, 2023","WT3","West Tektite",0,20,16,28,0,36,30.2,6.42830372195666,127,82,69,308,20910.6326,2.09106326,0,0,0,0,0,0,2,3,6,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,2,0,0,0,0,3,9,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,3,0,0,0,1,1,0,1,0,0,0,0,0,4,5,0,14,0,0
"July 26, 2023","WT4","West Tektite",8,16,0,56,12,8,16.8571428571429,1.39184140080023,134,98,28,318,14235.69479,1.423569479,0,0,0,0,0,0,3,4,5,0,0,0,10,7,1,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,1
"July 26, 2023","WT5","West Tektite",12,52,8,24,0,4,39,9.62418827746008,164,103,53,500,23941.74515,2.394174515,0,0,0,0,0,0,0,9,10,0,0,0,2,4,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0,0,0,1,0,0,1,2,0,0,0,2,0,1,0,0,0,0,1,0,1,0,3,0,4,1,0,0,3,0,1,6,0,1,0,2
"July 28, 2023","WT6","West Tektite",4,36,0,48,8,4,36.3333333333333,15.0345469952569,129,84,44,300,15639.79044,1.563979044,0,0,0,0,0,0,0,4,5,0,1,0,2,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,4,0,3,0,2
"July 28, 2023","WT7","West Tektite",0,28,0,60,0,12,33,12.8035532736415,194,79,59,430,25811.69041,2.581169041,0,0,0,0,0,0,0,1,6,0,0,0,3,5,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,11,0,3,0,0
"July 28, 2023","WT8","West Tektite",0,12,0,20,68,0,20.3333333333333,8.81588876734196,56,28,27,138,3306.921855,0.330692185,0,0,0,0,0,0,0,8,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
"July 28, 2023","WT9","West Tektite",8,28,0,48,4,12,32.5,6.34416246922298,111,82,89,268,23376.875,2.3376875,0,0,0,0,1,0,0,0,5,0,2,0,0,2,0,0,0,0,0,0,0,1,0,3,1,3,0,0,0,0,0,0,0,1,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,1,0,4,0,2,0,2,1,3,1,0,0,0,0,0,5,0,4,1,3
"July 23, 2023","Y1","Yawzi",0,0,0,0,0,0,58,25.6509225484427,262,139,56,678,43921.61873,4.392161873,0,0,0,0,5,1,0,18,15,1,1,0,6,8,1,1,0,1,0,0,0,0,0,0,0,4,10,0,3,0,0,0,1,0,0,0,5,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,10,0,0
"July 25, 2023","Y10","Yawzi",0,68,16,0,12,4,21,6.62965918825251,80,42,30,206,5709.364896,0.57093649,0,0,0,0,0,0,0,6,0,0,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,3,0,0
"July 28, 2023","Y11","Yawzi",24,20,12,40,0,4,45.3333333333333,15.0460116447014,95,78,70,285,16827.84377,1.682784377,0,0,0,0,1,0,0,14,6,0,6,7,3,2,1,0,0,0,0,0,0,0,0,1,0,0,11,0,0,1,1,0,0,0,0,0,7,10,0,0,1,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,1,0,1,3,0,1,0,0,0,0,8,4,0,13,0,0
"July 28, 2023","Y12","Yawzi",4,24,0,28,40,4,14,4.12959700558922,89,48,29,238,6510.9987,0.65109987,0,0,0,0,0,0,0,8,3,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0
"July 29, 2023","Y13","Yawzi",0,76,0,16,0,8,43.5,3.44251202011274,295,220,89,1063,82990.15381,8.299015381,0,0,0,0,0,1,2,27,13,0,6,0,12,13,3,1,1,0,1,0,0,0,0,2,2,10,14,0,6,0,0,0,0,1,2,0,21,29,0,0,4,0,0,0,3,0,0,0,1,11,0,0,0,1,0,0,5,0,9,4,0,2,5,0,5,8,1,5,0,0,2,0,12,31,0,24,2,3
"July 29, 2023","Y14","Yawzi",0,32,0,20,28,20,24.6,5.33551743896161,221,156,36,645,34501.73735,3.450173735,0,0,0,0,0,0,0,35,10,0,1,0,6,4,0,2,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,1,10,0,0,2,0
"August 7, 2023","Y15","Yawzi",8,48,0,44,0,0,40,10.7468018498528,220,143,70,547,43568.19133,4.356819133,0,0,0,0,1,0,0,28,6,0,0,0,5,5,0,0,0,0,0,0,0,0,0,8,6,4,6,2,0,0,0,0,1,0,0,0,11,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,1,1,1,4,3,0,3,0,1,0,2,11,0,23,1,3
"August 7, 2023","Y16","Yawzi",0,72,0,24,0,4,21.5,2.89320575398358,105,79,74,240,18953.45185,1.895345185,0,0,0,0,0,0,0,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,3,0,0,0,2,0,5,0,0,2,0,1,0,1,0,0,8,2,3
"August 9, 2023","Y17","Yawzi",8,68,8,4,0,12,31,3.88596502308397,126,95,61,389,20489.76151,2.048976151,0,0,0,0,0,0,0,27,10,0,13,0,3,4,2,0,0,1,0,0,0,0,0,0,0,4,8,1,2,0,0,0,0,5,0,0,6,19,0,0,1,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,2,1,0,0,0,1,3,0,1,0,0,0,0,1,2,1,5,0,0
"August 9, 2023","Y18","Yawzi",16,60,0,0,16,8,15.2,1.83397181864361,167,67,47,210,18011.18142,1.801118142,0,0,0,0,0,0,0,35,4,0,1,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,2,0,0,1,0,0,0,0,2,0,2,0,0
"August 9, 2023","Y19","Yawzi",0,88,0,4,0,8,29.625,2.8248839157262,133,113,82,342,29191.58257,2.919158257,0,0,0,0,0,0,0,6,2,0,3,0,6,5,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,7,1,2,0,2,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,3,0,3,5,1,0,0,2,0,0,0,9,0,9,3,1
"August 9, 2023","Y20","Yawzi",12,80,0,8,0,0,21.5,2.22458187866478,120,96,57,284,18979.46055,1.897946055,0,0,0,0,0,0,0,12,2,0,7,0,2,3,0,0,0,0,0,0,0,0,0,0,3,1,3,0,1,0,0,0,0,0,0,0,5,2,0,0,0,1,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,1,0,0,0,6,0,3,0,3
"July 24, 2023","Y3","Yawzi",16,56,8,0,16,4,49.5,19.2579348725546,140,100,70,349,25129.48518,2.512948518,0,0,0,0,0,8,0,14,0,0,2,0,3,6,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,7,11,3,0,5,5,5,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,3,1,1,0,0,0,0,3,4,0,12,5,0
"July 25, 2023","Y4","Yawzi",0,36,0,20,40,4,17.2,4.32602777141684,72,49,34,197,6213.397694,0.621339769,0,0,0,0,0,0,0,3,5,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,1,0
"July 25, 2023","Y5","Yawzi",28,8,0,36,24,4,25.3333333333333,8.82675653505719,64,39,15,193,3000.68025,0.300068025,0,0,0,0,0,0,3,3,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,2,0,3,0,0,0,1,0,0,1,0,2,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"July 25, 2023","Y6","Yawzi",4,40,4,8,28,16,18.25,5.35164866256505,78,53,22,208,5262.651686,0.526265169,0,0,0,0,0,0,0,17,5,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,2,0
"July 25, 2023","Y7","Yawzi",4,28,0,32,32,4,14.6666666666667,2.19820113810056,70,53,29,183,5699.996385,0.569999638,0,0,0,0,0,0,0,4,2,1,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,2,10,0,0,0,1
"July 25, 2023","Y8","Yawzi",0,72,4,8,12,4,20.25,5.35406758807305,87,74,40,263,10128.23634,1.012823634,0,0,0,0,0,0,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5,0,6,0,1
"July 25, 2023","Y9","Yawzi",12,36,8,16,0,28,36,3.18022072423838,171,144,111,475,49959.70504,4.995970504,0,0,0,0,0,0,3,21,12,0,25,0,5,10,0,0,0,2,0,0,0,0,0,0,1,9,13,0,0,0,1,1,1,0,2,0,8,16,0,0,6,5,0,6,8,0,1,0,2,6,0,0,0,0,0,0,3,0,0,4,2,0,4,2,0,4,1,1,0,0,0,0,2,0,0,29,0,0
